code,tipo,marca,modelo,variante,motor,originalpw,modifiedpw,gainpw,maxgainpw,maxgainrpm,originaltorque,modtorque,obd,stg1,acc,ron,vmx,cat,egr,dpf,imm,swr,ms,cat,pricestg1,pricestg2,dtcdecategronly,pricecombo,dpfonly,dpfcombo,dealerpricestg1,dealerpricestg2,dealerdtcdecategronly,dealerpricecombo,dealerdpfonly,dealerdfpcombo,kess,ktag,web
504,AUTO / UTIL,BMW,SERIE 1 Exx,,120d 320d,177,215,38,38,4100,350,423,0,1,1,0,1,0,1,1,0,1,0,TD3,24900,24900,14900,3725,22900,11450,7470,7470,4470,1117.5,6870,3435,215 692,1208 154,https://dataracing.com.ar/cars/bmw-120d-320d-x1-2-0d-177-hp-n47/
505,AUTO / UTIL,BMW,SERIE 1 Exx,,125i 325i,218,236,18,18,6600,250,261,1,1,1,1,1,1,0,0,0,0,0,A4,24900,28900,14900,7450,0,0,7470,8670,4470,2235,0,0,202,990,https://dataracing.com.ar/cars/bmw-125i-325i-3-0l-218-hp-n53/
506,AUTO / UTIL,BMW,SERIE 1 Exx,,130i 330i,265,280,15,20,5800,310,331,1,1,1,1,1,1,0,0,0,0,0,A4,24900,28900,14900,7450,0,0,7470,8670,4470,2235,0,0,202,986,https://dataracing.com.ar/cars/bmw-130i-330i-3-0l-265-hp-n53/
507,AUTO / UTIL,BMW,SERIE 1 Exx,,135i 335i N54,306,355,49,50,4500,400,525,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,202,986,https://dataracing.com.ar/cars/bmw-135i-335i-3-0tt-306-hp-n54/
508,AUTO / UTIL,BMW,SERIE 1 Exx,,135i 335i N55,306,355,49,50,4500,400,525,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,695,1351 215,https://dataracing.com.ar/cars/bmw-135i-335i-x5-x6-3-0t-306-hp-n55/
509,AUTO / UTIL,BMW,SERIE 1 Exx,,M1,340,390,50,0,0,500,0,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,629,1357 678,
532,AUTO / UTIL,BMW,SERIE 1 Fxx,,1.6T,170,205,35,27,4900,250,332,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,629,1355 679,https://dataracing.com.ar/cars/bmw-118i-1-6t-170-hp-n13/
535,AUTO / UTIL,BMW,SERIE 1 Fxx,,120d 320d,184,220,36,35,4100,380,471,1,1,1,0,1,0,1,1,0,0,0,TD3,24900,24900,14900,3725,22900,11450,7470,7470,4470,1117.5,6870,3435,628,1175 668,https://dataracing.com.ar/cars/bmw-120d-320d-2-0d-184-hp-n47/
537,AUTO / UTIL,BMW,SERIE 1 Fxx,,118D 318D,141,170,29,30,4200,320,411,1,1,1,0,1,0,1,1,0,0,0,TD3,24900,24900,14900,3725,22900,11450,7470,7470,4470,1117.5,6870,3435,215 692,1208 154,https://dataracing.com.ar/cars/bmw-118-d-318d-2-0d-141-hp-n47/
523,AUTO / UTIL,BMW,SERIE 1 F20 LCI 118i,,15T B38,136,180,44,47,5100,220,284,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,629,1353 719,https://dataracing.com.ar/cars/bmw-118i-1-5t-136-hp-b37/
